tier	kind	label	target	target_tier	rate_per_min	policy	proliferator_mark	url
0	component	T0/component/crude-oil@60/no-proliferator	crude-oil	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=crude-oil*60&v=11
0	component	T0/component/electromagnetic-matrix@60/no-proliferator	electromagnetic-matrix	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=electromagnetic-matrix*60&v=11
0	component	T0/component/fire-ice@60/no-proliferator	fire-ice	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=fire-ice*60&v=11
0	component	T0/component/fractal-silicon@60/no-proliferator	fractal-silicon	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=fractal-silicon*60&v=11
0	component	T0/component/gear@60/no-proliferator	gear	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=gear*60&v=11
0	component	T0/component/glass@60/no-proliferator	glass	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=glass*60&v=11
0	component	T0/component/iron-ingot@60/no-proliferator	iron-ingot	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=iron-ingot*60&v=11
0	component	T0/component/iron-ore@60/no-proliferator	iron-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=iron-ore*60&v=11
0	component	T0/component/kimberlite-ore@60/no-proliferator	kimberlite-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=kimberlite-ore*60&v=11
0	component	T0/component/magnet@60/no-proliferator	magnet	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=magnet*60&v=11
0	component	T0/component/magnetic-coil@60/no-proliferator	magnetic-coil	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=magnetic-coil*60&v=11
0	component	T0/component/optical-grating-crystal@60/no-proliferator	optical-grating-crystal	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=optical-grating-crystal*60&v=11
0	component	T0/component/organic-crystal@60/no-proliferator	organic-crystal	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=organic-crystal*60&v=11
0	component	T0/component/silicon-ore@60/no-proliferator	silicon-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=silicon-ore*60&v=11
0	component	T0/component/spiniform-stalagmite-crystal@60/no-proliferator	spiniform-stalagmite-crystal	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=spiniform-stalagmite-crystal*60&v=11
0	component	T0/component/stone@60/no-proliferator	stone	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=stone*60&v=11
0	component	T0/component/stone-brick@60/no-proliferator	stone-brick	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=stone-brick*60&v=11
0	component	T0/component/sulfuric-acid@60/no-proliferator	sulfuric-acid	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=sulfuric-acid*60&v=11
0	component	T0/component/titanium-ore@60/no-proliferator	titanium-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=titanium-ore*60&v=11
0	component	T0/component/unipolar-magnet@60/no-proliferator	unipolar-magnet	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=unipolar-magnet*60&v=11
0	component	T0/component/water@60/no-proliferator	water	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=water*60&v=11
1	building	T1/building/arc-smelter@1/no-proliferator	arc-smelter	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=arc-smelter*1&v=11
1	building	T1/building/arc-smelter@1/all-products	arc-smelter	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=arc-smelter*1&v=11
1	building	T1/building/assembling-machine-1@1/no-proliferator	assembling-machine-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=assembling-machine-1*1&v=11
1	building	T1/building/assembling-machine-1@1/all-products	assembling-machine-1	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=assembling-machine-1*1&v=11
1	building	T1/building/chemical-plant@1/no-proliferator	chemical-plant	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=chemical-plant*1&v=11
1	building	T1/building/chemical-plant@1/all-products	chemical-plant	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=chemical-plant*1&v=11
1	building	T1/building/conveyor-belt-1@1/no-proliferator	conveyor-belt-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=conveyor-belt-1*1&v=11
1	building	T1/building/conveyor-belt-1@1/all-products	conveyor-belt-1	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=conveyor-belt-1*1&v=11
1	building	T1/building/holo-beacon@1/no-proliferator	holo-beacon	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=holo-beacon*1&v=11
1	building	T1/building/holo-beacon@1/all-products	holo-beacon	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=holo-beacon*1&v=11
1	building	T1/building/matrix-lab@1/no-proliferator	matrix-lab	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=matrix-lab*1&v=11
1	building	T1/building/matrix-lab@1/all-products	matrix-lab	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=matrix-lab*1&v=11
1	building	T1/building/mining-machine@1/no-proliferator	mining-machine	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=mining-machine*1&v=11
1	building	T1/building/mining-machine@1/all-products	mining-machine	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=mining-machine*1&v=11
1	building	T1/building/oil-extractor@1/no-proliferator	oil-extractor	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=oil-extractor*1&v=11
1	building	T1/building/oil-extractor@1/all-products	oil-extractor	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=oil-extractor*1&v=11
1	building	T1/building/oil-refinery@1/no-proliferator	oil-refinery	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=oil-refinery*1&v=11
1	building	T1/building/oil-refinery@1/all-products	oil-refinery	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=oil-refinery*1&v=11
1	building	T1/building/solar-panel@1/no-proliferator	solar-panel	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=solar-panel*1&v=11
1	building	T1/building/solar-panel@1/all-products	solar-panel	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=solar-panel*1&v=11
1	building	T1/building/sorter-1@1/no-proliferator	sorter-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=sorter-1*1&v=11
1	building	T1/building/sorter-1@1/all-products	sorter-1	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=sorter-1*1&v=11
1	building	T1/building/sorter-2@1/no-proliferator	sorter-2	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=sorter-2*1&v=11
1	building	T1/building/sorter-2@1/all-products	sorter-2	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=sorter-2*1&v=11
1	building	T1/building/splitter@1/no-proliferator	splitter	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=splitter*1&v=11
1	building	T1/building/splitter@1/all-products	splitter	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=splitter*1&v=11
1	building	T1/building/spray-coater@1/no-proliferator	spray-coater	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=spray-coater*1&v=11
1	building	T1/building/spray-coater@1/all-products	spray-coater	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=spray-coater*1&v=11
1	building	T1/building/storage-1@1/no-proliferator	storage-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=storage-1*1&v=11
1	building	T1/building/storage-1@1/all-products	storage-1	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=storage-1*1&v=11
1	building	T1/building/storage-tank@1/no-proliferator	storage-tank	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=storage-tank*1&v=11
1	building	T1/building/storage-tank@1/all-products	storage-tank	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=storage-tank*1&v=11
1	building	T1/building/tesla-tower@1/no-proliferator	tesla-tower	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=tesla-tower*1&v=11
1	building	T1/building/tesla-tower@1/all-products	tesla-tower	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=tesla-tower*1&v=11
1	building	T1/building/thermal-power-plant@1/no-proliferator	thermal-power-plant	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=thermal-power-plant*1&v=11
1	building	T1/building/thermal-power-plant@1/all-products	thermal-power-plant	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=thermal-power-plant*1&v=11
1	building	T1/building/traffic-monitor@1/no-proliferator	traffic-monitor	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=traffic-monitor*1&v=11
1	building	T1/building/traffic-monitor@1/all-products	traffic-monitor	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=traffic-monitor*1&v=11
1	building	T1/building/water-pump@1/no-proliferator	water-pump	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=water-pump*1&v=11
1	building	T1/building/water-pump@1/all-products	water-pump	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=water-pump*1&v=11
1	building	T1/building/wind-turbine@1/no-proliferator	wind-turbine	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=wind-turbine*1&v=11
1	building	T1/building/wind-turbine@1/all-products	wind-turbine	0	1	all-products	1	https://factoriolab.github.io/dsp/list?o=wind-turbine*1&v=11
1	building	T1/building/wireless-power-tower@1/no-proliferator	wireless-power-tower	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=wireless-power-tower*1&v=11
1	building	T1/building/wireless-power-tower@1/all-products	wireless-power-tower	1	1	all-products	1	https://factoriolab.github.io/dsp/list?o=wireless-power-tower*1&v=11
1	matrix	T1/matrix/electromagnetic-matrix@60/no-proliferator	electromagnetic-matrix	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=electromagnetic-matrix*60&v=11
1	matrix	T1/matrix/electromagnetic-matrix@60/all-products	electromagnetic-matrix	0	60	all-products	1	https://factoriolab.github.io/dsp/list?o=electromagnetic-matrix*60&v=11
1	matrix10x	T1/matrix10x/electromagnetic-matrix@600/no-proliferator	electromagnetic-matrix	0	600	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=electromagnetic-matrix*600&v=11
1	matrix10x	T1/matrix10x/electromagnetic-matrix@600/all-products	electromagnetic-matrix	0	600	all-products	1	https://factoriolab.github.io/dsp/list?o=electromagnetic-matrix*600&v=11
1	matrix	T1/matrix/energy-matrix@60/no-proliferator	energy-matrix	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=energy-matrix*60&v=11
1	matrix	T1/matrix/energy-matrix@60/all-products	energy-matrix	1	60	all-products	1	https://factoriolab.github.io/dsp/list?o=energy-matrix*60&v=11
1	matrix10x	T1/matrix10x/energy-matrix@600/no-proliferator	energy-matrix	1	600	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=energy-matrix*600&v=11
1	matrix10x	T1/matrix10x/energy-matrix@600/all-products	energy-matrix	1	600	all-products	1	https://factoriolab.github.io/dsp/list?o=energy-matrix*600&v=11
1	component	T1/component/circuit-board@60/no-proliferator	circuit-board	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=circuit-board*60&v=11
1	component	T1/component/coal@60/no-proliferator	coal	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=coal*60&v=11
1	component	T1/component/copper-ingot@60/no-proliferator	copper-ingot	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=copper-ingot*60&v=11
1	component	T1/component/copper-ore@60/no-proliferator	copper-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=copper-ore*60&v=11
1	component	T1/component/crude-oil@60/no-proliferator	crude-oil	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=crude-oil*60&v=11
1	component	T1/component/electric-motor@60/no-proliferator	electric-motor	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=electric-motor*60&v=11
1	component	T1/component/electromagnetic-matrix@60/no-proliferator	electromagnetic-matrix	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=electromagnetic-matrix*60&v=11
1	component	T1/component/energetic-graphite@60/no-proliferator	energetic-graphite	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=energetic-graphite*60&v=11
1	component	T1/component/energy-matrix@60/no-proliferator	energy-matrix	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=energy-matrix*60&v=11
1	component	T1/component/fire-ice@60/no-proliferator	fire-ice	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=fire-ice*60&v=11
1	component	T1/component/foundation@60/no-proliferator	foundation	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=foundation*60&v=11
1	component	T1/component/fractal-silicon@60/no-proliferator	fractal-silicon	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=fractal-silicon*60&v=11
1	component	T1/component/gear@60/no-proliferator	gear	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=gear*60&v=11
1	component	T1/component/glass@60/no-proliferator	glass	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=glass*60&v=11
1	component	T1/component/graphene@60/no-proliferator	graphene	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=graphene*60&v=11
1	component	T1/component/high-purity-silicon@60/no-proliferator	high-purity-silicon	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=high-purity-silicon*60&v=11
1	component	T1/component/hydrogen@60/no-proliferator	hydrogen	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=hydrogen*60&v=11
1	component	T1/component/iron-ingot@60/no-proliferator	iron-ingot	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=iron-ingot*60&v=11
1	component	T1/component/iron-ore@60/no-proliferator	iron-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=iron-ore*60&v=11
1	component	T1/component/kimberlite-ore@60/no-proliferator	kimberlite-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=kimberlite-ore*60&v=11
1	component	T1/component/magnet@60/no-proliferator	magnet	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=magnet*60&v=11
1	component	T1/component/magnetic-coil@60/no-proliferator	magnetic-coil	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=magnetic-coil*60&v=11
1	component	T1/component/microcrystalline-component@60/no-proliferator	microcrystalline-component	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=microcrystalline-component*60&v=11
1	component	T1/component/optical-grating-crystal@60/no-proliferator	optical-grating-crystal	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=optical-grating-crystal*60&v=11
1	component	T1/component/organic-crystal@60/no-proliferator	organic-crystal	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=organic-crystal*60&v=11
1	component	T1/component/plasma-exciter@60/no-proliferator	plasma-exciter	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=plasma-exciter*60&v=11
1	component	T1/component/plastic@60/no-proliferator	plastic	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=plastic*60&v=11
1	component	T1/component/prism@60/no-proliferator	prism	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=prism*60&v=11
1	component	T1/component/processor@60/no-proliferator	processor	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=processor*60&v=11
1	component	T1/component/proliferator-1@60/no-proliferator	proliferator-1	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=proliferator-1*60&v=11
1	component	T1/component/refined-oil@60/no-proliferator	refined-oil	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=refined-oil*60&v=11
1	component	T1/component/silicon-ore@60/no-proliferator	silicon-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=silicon-ore*60&v=11
1	component	T1/component/spiniform-stalagmite-crystal@60/no-proliferator	spiniform-stalagmite-crystal	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=spiniform-stalagmite-crystal*60&v=11
1	component	T1/component/steel@60/no-proliferator	steel	1	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=steel*60&v=11
1	component	T1/component/stone@60/no-proliferator	stone	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=stone*60&v=11
1	component	T1/component/stone-brick@60/no-proliferator	stone-brick	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=stone-brick*60&v=11
1	component	T1/component/sulfuric-acid@60/no-proliferator	sulfuric-acid	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=sulfuric-acid*60&v=11
1	component	T1/component/titanium-ore@60/no-proliferator	titanium-ore	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=titanium-ore*60&v=11
1	component	T1/component/unipolar-magnet@60/no-proliferator	unipolar-magnet	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=unipolar-magnet*60&v=11
1	component	T1/component/water@60/no-proliferator	water	0	60	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=water*60&v=11
2	building	T2/building/accumulator@1/no-proliferator	accumulator	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=accumulator*1&v=11
2	building	T2/building/accumulator@1/all-products	accumulator	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=accumulator*1&v=11
2	building	T2/building/arc-smelter@1/no-proliferator	arc-smelter	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=arc-smelter*1&v=11
2	building	T2/building/arc-smelter@1/all-products	arc-smelter	0	1	all-products	2	https://factoriolab.github.io/dsp/list?o=arc-smelter*1&v=11
2	building	T2/building/assembling-machine-1@1/no-proliferator	assembling-machine-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=assembling-machine-1*1&v=11
2	building	T2/building/assembling-machine-1@1/all-products	assembling-machine-1	0	1	all-products	2	https://factoriolab.github.io/dsp/list?o=assembling-machine-1*1&v=11
2	building	T2/building/assembling-machine-2@1/no-proliferator	assembling-machine-2	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=assembling-machine-2*1&v=11
2	building	T2/building/assembling-machine-2@1/all-products	assembling-machine-2	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=assembling-machine-2*1&v=11
2	building	T2/building/chemical-plant@1/no-proliferator	chemical-plant	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=chemical-plant*1&v=11
2	building	T2/building/chemical-plant@1/all-products	chemical-plant	1	1	all-products	2	https://factoriolab.github.io/dsp/list?o=chemical-plant*1&v=11
2	building	T2/building/conveyor-belt-1@1/no-proliferator	conveyor-belt-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=conveyor-belt-1*1&v=11
2	building	T2/building/conveyor-belt-1@1/all-products	conveyor-belt-1	0	1	all-products	2	https://factoriolab.github.io/dsp/list?o=conveyor-belt-1*1&v=11
2	building	T2/building/conveyor-belt-2@1/no-proliferator	conveyor-belt-2	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=conveyor-belt-2*1&v=11
2	building	T2/building/conveyor-belt-2@1/all-products	conveyor-belt-2	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=conveyor-belt-2*1&v=11
2	building	T2/building/conveyor-belt-3@1/no-proliferator	conveyor-belt-3	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=conveyor-belt-3*1&v=11
2	building	T2/building/conveyor-belt-3@1/all-products	conveyor-belt-3	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=conveyor-belt-3*1&v=11
2	building	T2/building/em-rail-ejector@1/no-proliferator	em-rail-ejector	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=em-rail-ejector*1&v=11
2	building	T2/building/em-rail-ejector@1/all-products	em-rail-ejector	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=em-rail-ejector*1&v=11
2	building	T2/building/fractionator@1/no-proliferator	fractionator	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=fractionator*1&v=11
2	building	T2/building/fractionator@1/all-products	fractionator	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=fractionator*1&v=11
2	building	T2/building/geothermal-power-station@1/no-proliferator	geothermal-power-station	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=geothermal-power-station*1&v=11
2	building	T2/building/geothermal-power-station@1/all-products	geothermal-power-station	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=geothermal-power-station*1&v=11
2	building	T2/building/holo-beacon@1/no-proliferator	holo-beacon	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=holo-beacon*1&v=11
2	building	T2/building/holo-beacon@1/all-products	holo-beacon	1	1	all-products	2	https://factoriolab.github.io/dsp/list?o=holo-beacon*1&v=11
2	building	T2/building/logistics-distributor@1/no-proliferator	logistics-distributor	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=logistics-distributor*1&v=11
2	building	T2/building/logistics-distributor@1/all-products	logistics-distributor	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=logistics-distributor*1&v=11
2	building	T2/building/matrix-lab@1/no-proliferator	matrix-lab	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=matrix-lab*1&v=11
2	building	T2/building/matrix-lab@1/all-products	matrix-lab	0	1	all-products	2	https://factoriolab.github.io/dsp/list?o=matrix-lab*1&v=11
2	building	T2/building/mining-machine@1/no-proliferator	mining-machine	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=mining-machine*1&v=11
2	building	T2/building/mining-machine@1/all-products	mining-machine	0	1	all-products	2	https://factoriolab.github.io/dsp/list?o=mining-machine*1&v=11
2	building	T2/building/oil-extractor@1/no-proliferator	oil-extractor	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=oil-extractor*1&v=11
2	building	T2/building/oil-extractor@1/all-products	oil-extractor	1	1	all-products	2	https://factoriolab.github.io/dsp/list?o=oil-extractor*1&v=11
2	building	T2/building/oil-refinery@1/no-proliferator	oil-refinery	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=oil-refinery*1&v=11
2	building	T2/building/oil-refinery@1/all-products	oil-refinery	1	1	all-products	2	https://factoriolab.github.io/dsp/list?o=oil-refinery*1&v=11
2	building	T2/building/planetary-logistics-station@1/no-proliferator	planetary-logistics-station	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=planetary-logistics-station*1&v=11
2	building	T2/building/planetary-logistics-station@1/all-products	planetary-logistics-station	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=planetary-logistics-station*1&v=11
2	building	T2/building/ray-receiver@1/no-proliferator	ray-receiver	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=ray-receiver*1&v=11
2	building	T2/building/ray-receiver@1/all-products	ray-receiver	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=ray-receiver*1&v=11
2	building	T2/building/solar-panel@1/no-proliferator	solar-panel	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=solar-panel*1&v=11
2	building	T2/building/solar-panel@1/all-products	solar-panel	1	1	all-products	2	https://factoriolab.github.io/dsp/list?o=solar-panel*1&v=11
2	building	T2/building/sorter-1@1/no-proliferator	sorter-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=sorter-1*1&v=11
2	building	T2/building/sorter-1@1/all-products	sorter-1	0	1	all-products	2	https://factoriolab.github.io/dsp/list?o=sorter-1*1&v=11
2	building	T2/building/sorter-2@1/no-proliferator	sorter-2	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=sorter-2*1&v=11
2	building	T2/building/sorter-2@1/all-products	sorter-2	1	1	all-products	2	https://factoriolab.github.io/dsp/list?o=sorter-2*1&v=11
2	building	T2/building/sorter-3@1/no-proliferator	sorter-3	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=sorter-3*1&v=11
2	building	T2/building/sorter-3@1/all-products	sorter-3	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=sorter-3*1&v=11
2	building	T2/building/splitter@1/no-proliferator	splitter	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=splitter*1&v=11
2	building	T2/building/splitter@1/all-products	splitter	1	1	all-products	2	https://factoriolab.github.io/dsp/list?o=splitter*1&v=11
2	building	T2/building/spray-coater@1/no-proliferator	spray-coater	1	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=spray-coater*1&v=11
2	building	T2/building/spray-coater@1/all-products	spray-coater	1	1	all-products	2	https://factoriolab.github.io/dsp/list?o=spray-coater*1&v=11
2	building	T2/building/storage-1@1/no-proliferator	storage-1	0	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=storage-1*1&v=11
2	building	T2/building/storage-1@1/all-products	storage-1	0	1	all-products	2	https://factoriolab.github.io/dsp/list?o=storage-1*1&v=11
2	building	T2/building/storage-2@1/no-proliferator	storage-2	2	1	no-proliferator	0	https://factoriolab.github.io/dsp/list?o=storage-2*1&v=11
2	building	T2/building/storage-2@1/all-products	storage-2	2	1	all-products	2	https://factoriolab.github.io/dsp/list?o=storage-2*1&v=11
